Loss: 4.700 | Acc: 0.000% (0/128)
Loss: 4.612 | Acc: 1.847% (26/1408)
Loss: 4.560 | Acc: 2.641% (71/2688)
Loss: 4.493 | Acc: 3.654% (145/3968)
Loss: 4.423 | Acc: 4.268% (224/5248)
Loss: 4.360 | Acc: 4.917% (321/6528)
Loss: 4.303 | Acc: 5.405% (422/7808)
Loss: 4.264 | Acc: 5.898% (536/9088)
Loss: 4.220 | Acc: 6.337% (657/10368)
Loss: 4.190 | Acc: 6.550% (763/11648)
Loss: 4.166 | Acc: 6.915% (894/12928)
Loss: 4.138 | Acc: 7.327% (1041/14208)
Loss: 4.113 | Acc: 7.580% (1174/15488)
Loss: 4.085 | Acc: 7.842% (1315/16768)
Loss: 4.059 | Acc: 8.145% (1470/18048)
Loss: 4.039 | Acc: 8.433% (1630/19328)
Loss: 4.019 | Acc: 8.671% (1787/20608)
Loss: 3.997 | Acc: 8.923% (1953/21888)
Loss: 3.979 | Acc: 9.116% (2112/23168)
Loss: 3.960 | Acc: 9.338% (2283/24448)
Loss: 3.940 | Acc: 9.663% (2486/25728)
Loss: 3.923 | Acc: 9.986% (2697/27008)
Loss: 3.904 | Acc: 10.280% (2908/28288)
Loss: 3.888 | Acc: 10.528% (3113/29568)
Loss: 3.871 | Acc: 10.756% (3318/30848)
Loss: 3.853 | Acc: 10.997% (3533/32128)
Loss: 3.834 | Acc: 11.303% (3776/33408)
Loss: 3.820 | Acc: 11.554% (4008/34688)
Loss: 3.807 | Acc: 11.724% (4217/35968)
Loss: 3.794 | Acc: 11.915% (4438/37248)
Loss: 3.781 | Acc: 12.105% (4664/38528)
Loss: 3.765 | Acc: 12.307% (4899/39808)
Loss: 3.749 | Acc: 12.561% (5161/41088)
Loss: 3.734 | Acc: 12.797% (5422/42368)
Loss: 3.721 | Acc: 13.029% (5687/43648)
Loss: 3.708 | Acc: 13.239% (5948/44928)
>>> Validation Loss: 3.312 | Acc: 15.625% (20/128)
>>> Validation Loss: 3.403 | Acc: 17.330% (244/1408)
>>> Validation Loss: 3.344 | Acc: 18.192% (489/2688)
>>> Validation Loss: 3.335 | Acc: 18.548% (736/3968)
Loss: 3.215 | Acc: 19.531% (25/128)
Loss: 3.203 | Acc: 22.727% (320/1408)
Loss: 3.209 | Acc: 21.912% (589/2688)
Loss: 3.191 | Acc: 22.203% (881/3968)
Loss: 3.179 | Acc: 22.428% (1177/5248)
Loss: 3.171 | Acc: 22.258% (1453/6528)
Loss: 3.158 | Acc: 22.362% (1746/7808)
Loss: 3.144 | Acc: 22.601% (2054/9088)
Loss: 3.141 | Acc: 22.772% (2361/10368)
Loss: 3.136 | Acc: 22.768% (2652/11648)
Loss: 3.129 | Acc: 22.919% (2963/12928)
Loss: 3.118 | Acc: 23.036% (3273/14208)
Loss: 3.102 | Acc: 23.418% (3627/15488)
Loss: 3.098 | Acc: 23.479% (3937/16768)
Loss: 3.086 | Acc: 23.659% (4270/18048)
Loss: 3.081 | Acc: 23.738% (4588/19328)
Loss: 3.079 | Acc: 23.709% (4886/20608)
Loss: 3.066 | Acc: 23.990% (5251/21888)
Loss: 3.054 | Acc: 24.171% (5600/23168)
Loss: 3.044 | Acc: 24.309% (5943/24448)
Loss: 3.039 | Acc: 24.405% (6279/25728)
Loss: 3.029 | Acc: 24.567% (6635/27008)
Loss: 3.020 | Acc: 24.710% (6990/28288)
Loss: 3.010 | Acc: 24.773% (7325/29568)
Loss: 3.005 | Acc: 24.890% (7678/30848)
Loss: 2.997 | Acc: 25.028% (8041/32128)
Loss: 2.991 | Acc: 25.180% (8412/33408)
Loss: 2.988 | Acc: 25.265% (8764/34688)
Loss: 2.984 | Acc: 25.289% (9096/35968)
Loss: 2.975 | Acc: 25.397% (9460/37248)
Loss: 2.969 | Acc: 25.501% (9825/38528)
Loss: 2.959 | Acc: 25.666% (10217/39808)
Loss: 2.952 | Acc: 25.852% (10622/41088)
Loss: 2.944 | Acc: 25.975% (11005/42368)
Loss: 2.937 | Acc: 26.113% (11398/43648)
Loss: 2.930 | Acc: 26.235% (11787/44928)
>>> Validation Loss: 2.961 | Acc: 29.688% (38/128)
>>> Validation Loss: 3.180 | Acc: 24.006% (338/1408)
>>> Validation Loss: 3.185 | Acc: 23.996% (645/2688)
>>> Validation Loss: 3.166 | Acc: 24.723% (981/3968)
Loss: 2.619 | Acc: 26.562% (34/128)
Loss: 2.598 | Acc: 30.824% (434/1408)
Loss: 2.576 | Acc: 32.850% (883/2688)
Loss: 2.568 | Acc: 33.443% (1327/3968)
Loss: 2.543 | Acc: 33.632% (1765/5248)
Loss: 2.541 | Acc: 33.655% (2197/6528)
Loss: 2.556 | Acc: 33.466% (2613/7808)
Loss: 2.543 | Acc: 33.627% (3056/9088)
Loss: 2.549 | Acc: 33.517% (3475/10368)
Loss: 2.544 | Acc: 33.654% (3920/11648)
Loss: 2.533 | Acc: 33.965% (4391/12928)
Loss: 2.523 | Acc: 34.291% (4872/14208)
Loss: 2.521 | Acc: 34.375% (5324/15488)
Loss: 2.515 | Acc: 34.512% (5787/16768)
Loss: 2.515 | Acc: 34.563% (6238/18048)
