Loss: 5.421 | Acc: 0.000% (0/128)
Loss: 5.429 | Acc: 0.994% (14/1408)
Loss: 5.433 | Acc: 1.451% (39/2688)
Loss: 5.427 | Acc: 1.663% (66/3968)
Loss: 5.376 | Acc: 1.963% (103/5248)
Loss: 5.325 | Acc: 2.237% (146/6528)
Loss: 5.284 | Acc: 2.293% (179/7808)
Loss: 5.242 | Acc: 2.542% (231/9088)
Loss: 5.203 | Acc: 2.826% (293/10368)
Loss: 5.165 | Acc: 3.048% (355/11648)
Loss: 5.132 | Acc: 3.226% (417/12928)
Loss: 5.103 | Acc: 3.456% (491/14208)
Loss: 5.076 | Acc: 3.648% (565/15488)
Loss: 5.053 | Acc: 3.727% (625/16768)
Loss: 5.026 | Acc: 3.845% (694/18048)
Loss: 4.998 | Acc: 4.077% (788/19328)
Loss: 4.973 | Acc: 4.236% (873/20608)
Loss: 4.955 | Acc: 4.322% (946/21888)
Loss: 4.932 | Acc: 4.403% (1020/23168)
Loss: 4.912 | Acc: 4.581% (1120/24448)
Loss: 4.894 | Acc: 4.711% (1212/25728)
Loss: 4.876 | Acc: 4.821% (1302/27008)
Loss: 4.856 | Acc: 4.981% (1409/28288)
Loss: 4.839 | Acc: 5.134% (1518/29568)
Loss: 4.823 | Acc: 5.219% (1610/30848)
Loss: 4.808 | Acc: 5.326% (1711/32128)
Loss: 4.794 | Acc: 5.451% (1821/33408)
Loss: 4.779 | Acc: 5.627% (1952/34688)
Loss: 4.762 | Acc: 5.794% (2084/35968)
Loss: 4.747 | Acc: 5.904% (2199/37248)
Loss: 4.730 | Acc: 6.050% (2331/38528)
Loss: 4.715 | Acc: 6.134% (2442/39808)
Loss: 4.698 | Acc: 6.325% (2599/41088)
Loss: 4.686 | Acc: 6.429% (2724/42368)
Loss: 4.673 | Acc: 6.539% (2854/43648)
Loss: 4.658 | Acc: 6.693% (3007/44928)
Loss: 4.645 | Acc: 6.811% (3147/46208)
Loss: 4.632 | Acc: 6.949% (3300/47488)
Loss: 4.616 | Acc: 7.117% (3471/48768)
Loss: 4.599 | Acc: 7.285% (3646/50048)
Loss: 4.583 | Acc: 7.462% (3830/51328)
Loss: 4.572 | Acc: 7.603% (4000/52608)
Loss: 4.560 | Acc: 7.736% (4169/53888)
Loss: 4.545 | Acc: 7.900% (4358/55168)
Loss: 4.533 | Acc: 8.014% (4524/56448)
Loss: 4.521 | Acc: 8.176% (4720/57728)
Loss: 4.510 | Acc: 8.307% (4902/59008)
Loss: 4.498 | Acc: 8.459% (5100/60288)
Loss: 4.486 | Acc: 8.608% (5300/61568)
Loss: 4.476 | Acc: 8.718% (5479/62848)
Loss: 4.464 | Acc: 8.865% (5685/64128)
Loss: 4.454 | Acc: 8.956% (5858/65408)
Loss: 4.443 | Acc: 9.086% (6059/66688)
Loss: 4.433 | Acc: 9.191% (6247/67968)
Loss: 4.424 | Acc: 9.301% (6441/69248)
Loss: 4.412 | Acc: 9.427% (6649/70528)
Loss: 4.402 | Acc: 9.545% (6854/71808)
Loss: 4.392 | Acc: 9.681% (7076/73088)
Loss: 4.382 | Acc: 9.813% (7298/74368)
Loss: 4.373 | Acc: 9.906% (7494/75648)
Loss: 4.364 | Acc: 10.017% (7706/76928)
Loss: 4.354 | Acc: 10.145% (7934/78208)
Loss: 4.345 | Acc: 10.251% (8148/79488)
Loss: 4.335 | Acc: 10.401% (8401/80768)
Loss: 4.325 | Acc: 10.546% (8653/82048)
Loss: 4.316 | Acc: 10.666% (8888/83328)
Loss: 4.308 | Acc: 10.778% (9119/84608)
Loss: 4.299 | Acc: 10.891% (9354/85888)
Loss: 4.290 | Acc: 11.001% (9589/87168)
Loss: 4.281 | Acc: 11.121% (9836/88448)
Loss: 4.271 | Acc: 11.265% (10108/89728)
Loss: 4.262 | Acc: 11.383% (10359/91008)
Loss: 4.253 | Acc: 11.474% (10589/92288)
Loss: 4.244 | Acc: 11.607% (10860/93568)
Loss: 4.236 | Acc: 11.698% (11095/94848)
Loss: 4.228 | Acc: 11.798% (11341/96128)
Loss: 4.221 | Acc: 11.879% (11571/97408)
Loss: 4.214 | Acc: 11.971% (11814/98688)
Loss: 4.205 | Acc: 12.082% (12078/99968)
>>> Validation Loss: 3.744 | Acc: 19.531% (25/128)
>>> Validation Loss: 3.766 | Acc: 18.040% (254/1408)
>>> Validation Loss: 3.759 | Acc: 18.006% (484/2688)
>>> Validation Loss: 3.757 | Acc: 18.019% (715/3968)
>>> Validation Loss: 3.747 | Acc: 18.159% (953/5248)
>>> Validation Loss: 3.750 | Acc: 17.923% (1170/6528)
>>> Validation Loss: 3.759 | Acc: 18.058% (1410/7808)
>>> Validation Loss: 3.727 | Acc: 18.321% (1665/9088)
Loss: 3.938 | Acc: 11.719% (15/128)
Loss: 3.586 | Acc: 19.318% (272/1408)
Loss: 3.551 | Acc: 20.610% (554/2688)
Loss: 3.551 | Acc: 20.867% (828/3968)
Loss: 3.535 | Acc: 21.037% (1104/5248)
Loss: 3.521 | Acc: 21.354% (1394/6528)
Loss: 3.519 | Acc: 21.491% (1678/7808)
Loss: 3.523 | Acc: 21.259% (1932/9088)
Loss: 3.513 | Acc: 21.557% (2235/10368)
Loss: 3.501 | Acc: 21.712% (2529/11648)
Loss: 3.493 | Acc: 21.751% (2812/12928)
Loss: 3.491 | Acc: 21.769% (3093/14208)
Loss: 3.489 | Acc: 21.636% (3351/15488)
Loss: 3.487 | Acc: 21.625% (3626/16768)
Loss: 3.483 | Acc: 21.736% (3923/18048)
Loss: 3.477 | Acc: 21.782% (4210/19328)
Loss: 3.474 | Acc: 21.826% (4498/20608)
Loss: 3.461 | Acc: 22.094% (4836/21888)
Loss: 3.460 | Acc: 22.143% (5130/23168)
Loss: 3.456 | Acc: 22.214% (5431/24448)
Loss: 3.458 | Acc: 22.104% (5687/25728)
Loss: 3.457 | Acc: 22.127% (5976/27008)
Loss: 3.455 | Acc: 22.133% (6261/28288)
Loss: 3.455 | Acc: 22.190% (6561/29568)
Loss: 3.449 | Acc: 22.319% (6885/30848)
Loss: 3.446 | Acc: 22.385% (7192/32128)
Loss: 3.440 | Acc: 22.450% (7500/33408)
Loss: 3.440 | Acc: 22.443% (7785/34688)
Loss: 3.438 | Acc: 22.467% (8081/35968)
Loss: 3.431 | Acc: 22.546% (8398/37248)
Loss: 3.429 | Acc: 22.584% (8701/38528)
Loss: 3.423 | Acc: 22.641% (9013/39808)
Loss: 3.418 | Acc: 22.737% (9342/41088)
Loss: 3.413 | Acc: 22.784% (9653/42368)
Loss: 3.408 | Acc: 22.897% (9994/43648)
Loss: 3.405 | Acc: 22.983% (10326/44928)
Loss: 3.402 | Acc: 23.039% (10646/46208)
Loss: 3.397 | Acc: 23.132% (10985/47488)
Loss: 3.394 | Acc: 23.214% (11321/48768)
Loss: 3.393 | Acc: 23.230% (11626/50048)
Loss: 3.390 | Acc: 23.297% (11958/51328)
Loss: 3.386 | Acc: 23.367% (12293/52608)
Loss: 3.382 | Acc: 23.421% (12621/53888)
Loss: 3.377 | Acc: 23.494% (12961/55168)
Loss: 3.372 | Acc: 23.572% (13306/56448)
Loss: 3.369 | Acc: 23.607% (13628/57728)
Loss: 3.367 | Acc: 23.631% (13944/59008)
Loss: 3.363 | Acc: 23.705% (14291/60288)
Loss: 3.359 | Acc: 23.783% (14643/61568)
Loss: 3.356 | Acc: 23.827% (14975/62848)
Loss: 3.351 | Acc: 23.901% (15327/64128)
Loss: 3.350 | Acc: 23.915% (15642/65408)
Loss: 3.347 | Acc: 23.965% (15982/66688)
Loss: 3.344 | Acc: 24.004% (16315/67968)
Loss: 3.340 | Acc: 24.057% (16659/69248)
Loss: 3.337 | Acc: 24.124% (17014/70528)
Loss: 3.332 | Acc: 24.238% (17405/71808)
Loss: 3.328 | Acc: 24.305% (17764/73088)
Loss: 3.325 | Acc: 24.365% (18120/74368)
Loss: 3.322 | Acc: 24.429% (18480/75648)
Loss: 3.318 | Acc: 24.529% (18870/76928)
Loss: 3.315 | Acc: 24.584% (19227/78208)
Loss: 3.312 | Acc: 24.625% (19574/79488)
Loss: 3.309 | Acc: 24.695% (19946/80768)
Loss: 3.306 | Acc: 24.751% (20308/82048)
Loss: 3.303 | Acc: 24.810% (20674/83328)
Loss: 3.300 | Acc: 24.887% (21056/84608)
Loss: 3.296 | Acc: 24.946% (21426/85888)
Loss: 3.293 | Acc: 24.991% (21784/87168)
Loss: 3.290 | Acc: 25.051% (22157/88448)
Loss: 3.288 | Acc: 25.087% (22510/89728)
Loss: 3.285 | Acc: 25.153% (22891/91008)
Loss: 3.282 | Acc: 25.207% (23263/92288)
Loss: 3.279 | Acc: 25.276% (23650/93568)
Loss: 3.277 | Acc: 25.313% (24009/94848)
Loss: 3.274 | Acc: 25.365% (24383/96128)
Loss: 3.272 | Acc: 25.418% (24759/97408)
Loss: 3.268 | Acc: 25.482% (25148/98688)
Loss: 3.264 | Acc: 25.526% (25518/99968)
>>> Validation Loss: 3.380 | Acc: 22.656% (29/128)
>>> Validation Loss: 3.303 | Acc: 24.077% (339/1408)
>>> Validation Loss: 3.270 | Acc: 24.888% (669/2688)
>>> Validation Loss: 3.280 | Acc: 24.975% (991/3968)
>>> Validation Loss: 3.269 | Acc: 25.248% (1325/5248)
