Loss: 4.863 | Acc: 0.000% (0/128)
Loss: 2.930 | Acc: 9.801% (138/1408)
Loss: 2.577 | Acc: 13.839% (372/2688)
Loss: 2.458 | Acc: 14.919% (592/3968)
Loss: 2.397 | Acc: 16.120% (846/5248)
Loss: 2.363 | Acc: 16.667% (1088/6528)
Loss: 2.334 | Acc: 17.111% (1336/7808)
Loss: 2.311 | Acc: 17.408% (1582/9088)
Loss: 2.298 | Acc: 17.593% (1824/10368)
Loss: 2.279 | Acc: 17.780% (2071/11648)
Loss: 2.268 | Acc: 17.984% (2325/12928)
Loss: 2.256 | Acc: 18.201% (2586/14208)
Loss: 2.245 | Acc: 18.440% (2856/15488)
Loss: 2.236 | Acc: 18.672% (3131/16768)
Loss: 2.230 | Acc: 18.822% (3397/18048)
Loss: 2.219 | Acc: 18.978% (3668/19328)
Loss: 2.210 | Acc: 19.128% (3942/20608)
Loss: 2.203 | Acc: 19.303% (4225/21888)
Loss: 2.196 | Acc: 19.475% (4512/23168)
Loss: 2.189 | Acc: 19.687% (4813/24448)
Loss: 2.183 | Acc: 19.834% (5103/25728)
Loss: 2.175 | Acc: 19.964% (5392/27008)
Loss: 2.167 | Acc: 20.235% (5724/28288)
Loss: 2.161 | Acc: 20.482% (6056/29568)
Loss: 2.155 | Acc: 20.685% (6381/30848)
Loss: 2.148 | Acc: 20.935% (6726/32128)
Loss: 2.140 | Acc: 21.109% (7052/33408)
Loss: 2.136 | Acc: 21.206% (7356/34688)
Loss: 2.131 | Acc: 21.372% (7687/35968)
Loss: 2.126 | Acc: 21.558% (8030/37248)
Loss: 2.122 | Acc: 21.683% (8354/38528)
Loss: 2.118 | Acc: 21.800% (8678/39808)
Loss: 2.112 | Acc: 22.019% (9047/41088)
Loss: 2.106 | Acc: 22.297% (9447/42368)
Loss: 2.102 | Acc: 22.452% (9800/43648)
Loss: 2.097 | Acc: 22.643% (10173/44928)
>>> Validation Loss: 2.004 | Acc: 32.031% (41/128)
>>> Validation Loss: 1.919 | Acc: 31.676% (446/1408)
>>> Validation Loss: 1.950 | Acc: 30.432% (818/2688)
>>> Validation Loss: 1.956 | Acc: 30.040% (1192/3968)
Loss: 2.006 | Acc: 28.125% (36/128)
Loss: 1.905 | Acc: 30.753% (433/1408)
Loss: 1.913 | Acc: 30.394% (817/2688)
Loss: 1.911 | Acc: 30.015% (1191/3968)
Loss: 1.914 | Acc: 29.611% (1554/5248)
Loss: 1.909 | Acc: 29.611% (1933/6528)
Loss: 1.908 | Acc: 29.816% (2328/7808)
Loss: 1.898 | Acc: 30.128% (2738/9088)
Loss: 1.889 | Acc: 30.382% (3150/10368)
Loss: 1.880 | Acc: 30.907% (3600/11648)
Loss: 1.876 | Acc: 30.972% (4004/12928)
Loss: 1.867 | Acc: 31.236% (4438/14208)
Loss: 1.863 | Acc: 31.418% (4866/15488)
Loss: 1.858 | Acc: 31.590% (5297/16768)
Loss: 1.854 | Acc: 31.699% (5721/18048)
Loss: 1.853 | Acc: 31.788% (6144/19328)
Loss: 1.851 | Acc: 31.852% (6564/20608)
Loss: 1.848 | Acc: 32.013% (7007/21888)
