Loss: 5.468 | Acc: 0.781% (1/128)
Loss: 5.438 | Acc: 0.426% (6/1408)
Loss: 5.401 | Acc: 0.670% (18/2688)
Loss: 5.388 | Acc: 0.655% (26/3968)
Loss: 5.369 | Acc: 0.781% (41/5248)
Loss: 5.347 | Acc: 0.858% (56/6528)
Loss: 5.331 | Acc: 0.935% (73/7808)
Loss: 5.315 | Acc: 0.990% (90/9088)
Loss: 5.301 | Acc: 1.003% (104/10368)
Loss: 5.292 | Acc: 1.022% (119/11648)
Loss: 5.277 | Acc: 1.098% (142/12928)
Loss: 5.266 | Acc: 1.154% (164/14208)
Loss: 5.255 | Acc: 1.194% (185/15488)
Loss: 5.245 | Acc: 1.270% (213/16768)
Loss: 5.236 | Acc: 1.280% (231/18048)
Loss: 5.227 | Acc: 1.335% (258/19328)
Loss: 5.221 | Acc: 1.344% (277/20608)
Loss: 5.215 | Acc: 1.398% (306/21888)
Loss: 5.209 | Acc: 1.433% (332/23168)
Loss: 5.205 | Acc: 1.448% (354/24448)
Loss: 5.201 | Acc: 1.489% (383/25728)
Loss: 5.198 | Acc: 1.507% (407/27008)
Loss: 5.192 | Acc: 1.534% (434/28288)
Loss: 5.188 | Acc: 1.583% (468/29568)
Loss: 5.183 | Acc: 1.605% (495/30848)
Loss: 5.177 | Acc: 1.662% (534/32128)
Loss: 5.176 | Acc: 1.685% (563/33408)
Loss: 5.172 | Acc: 1.701% (590/34688)
Loss: 5.168 | Acc: 1.735% (624/35968)
Loss: 5.165 | Acc: 1.748% (651/37248)
Loss: 5.163 | Acc: 1.760% (678/38528)
Loss: 5.159 | Acc: 1.771% (705/39808)
Loss: 5.155 | Acc: 1.813% (745/41088)
Loss: 5.151 | Acc: 1.815% (769/42368)
Loss: 5.147 | Acc: 1.844% (805/43648)
Loss: 5.144 | Acc: 1.861% (836/44928)
Loss: 5.142 | Acc: 1.878% (868/46208)
Loss: 5.140 | Acc: 1.891% (898/47488)
Loss: 5.138 | Acc: 1.905% (929/48768)
Loss: 5.134 | Acc: 1.910% (956/50048)
Loss: 5.131 | Acc: 1.917% (984/51328)
Loss: 5.129 | Acc: 1.937% (1019/52608)
Loss: 5.126 | Acc: 1.961% (1057/53888)
Loss: 5.123 | Acc: 1.974% (1089/55168)
Loss: 5.120 | Acc: 2.000% (1129/56448)
Loss: 5.117 | Acc: 2.023% (1168/57728)
Loss: 5.114 | Acc: 2.042% (1205/59008)
Loss: 5.111 | Acc: 2.055% (1239/60288)
Loss: 5.108 | Acc: 2.069% (1274/61568)
Loss: 5.105 | Acc: 2.099% (1319/62848)
Loss: 5.102 | Acc: 2.132% (1367/64128)
Loss: 5.099 | Acc: 2.151% (1407/65408)
Loss: 5.095 | Acc: 2.173% (1449/66688)
Loss: 5.092 | Acc: 2.205% (1499/67968)
Loss: 5.088 | Acc: 2.233% (1546/69248)
Loss: 5.085 | Acc: 2.249% (1586/70528)
Loss: 5.081 | Acc: 2.280% (1637/71808)
Loss: 5.077 | Acc: 2.293% (1676/73088)
Loss: 5.073 | Acc: 2.325% (1729/74368)
Loss: 5.069 | Acc: 2.352% (1779/75648)
Loss: 5.065 | Acc: 2.371% (1824/76928)
Loss: 5.061 | Acc: 2.422% (1894/78208)
Loss: 5.058 | Acc: 2.452% (1949/79488)
Loss: 5.055 | Acc: 2.476% (2000/80768)
Loss: 5.051 | Acc: 2.514% (2063/82048)
Loss: 5.048 | Acc: 2.550% (2125/83328)
Loss: 5.045 | Acc: 2.575% (2179/84608)
Loss: 5.040 | Acc: 2.596% (2230/85888)
Loss: 5.036 | Acc: 2.632% (2294/87168)
Loss: 5.032 | Acc: 2.674% (2365/88448)
Loss: 5.029 | Acc: 2.707% (2429/89728)
Loss: 5.025 | Acc: 2.736% (2490/91008)
Loss: 5.021 | Acc: 2.780% (2566/92288)
Loss: 5.017 | Acc: 2.803% (2623/93568)
Loss: 5.014 | Acc: 2.821% (2676/94848)
Loss: 5.010 | Acc: 2.863% (2752/96128)
Loss: 5.006 | Acc: 2.901% (2826/97408)
Loss: 5.003 | Acc: 2.948% (2909/98688)
Loss: 5.000 | Acc: 2.969% (2968/99968)
>>> Validation Loss: 4.702 | Acc: 3.125% (4/128)
>>> Validation Loss: 4.712 | Acc: 5.114% (72/1408)
>>> Validation Loss: 4.710 | Acc: 5.804% (156/2688)
>>> Validation Loss: 4.674 | Acc: 6.250% (248/3968)
>>> Validation Loss: 4.673 | Acc: 6.174% (324/5248)
>>> Validation Loss: 4.678 | Acc: 6.005% (392/6528)
>>> Validation Loss: 4.678 | Acc: 5.994% (468/7808)
>>> Validation Loss: 4.670 | Acc: 6.107% (555/9088)
Loss: 4.815 | Acc: 3.906% (5/128)
Loss: 4.682 | Acc: 6.037% (85/1408)
Loss: 4.673 | Acc: 5.878% (158/2688)
Loss: 4.659 | Acc: 6.149% (244/3968)
Loss: 4.648 | Acc: 6.364% (334/5248)
Loss: 4.651 | Acc: 6.357% (415/6528)
Loss: 4.656 | Acc: 6.365% (497/7808)
Loss: 4.659 | Acc: 6.349% (577/9088)
Loss: 4.664 | Acc: 6.356% (659/10368)
Loss: 4.662 | Acc: 6.267% (730/11648)
Loss: 4.666 | Acc: 6.289% (813/12928)
Loss: 4.666 | Acc: 6.264% (890/14208)
Loss: 4.661 | Acc: 6.347% (983/15488)
Loss: 4.659 | Acc: 6.399% (1073/16768)
Loss: 4.657 | Acc: 6.355% (1147/18048)
Loss: 4.655 | Acc: 6.390% (1235/19328)
Loss: 4.652 | Acc: 6.468% (1333/20608)
Loss: 4.652 | Acc: 6.478% (1418/21888)
Loss: 4.652 | Acc: 6.457% (1496/23168)
Loss: 4.649 | Acc: 6.487% (1586/24448)
Loss: 4.645 | Acc: 6.464% (1663/25728)
Loss: 4.640 | Acc: 6.531% (1764/27008)
Loss: 4.636 | Acc: 6.572% (1859/28288)
Loss: 4.633 | Acc: 6.602% (1952/29568)
Loss: 4.632 | Acc: 6.639% (2048/30848)
Loss: 4.629 | Acc: 6.711% (2156/32128)
Loss: 4.627 | Acc: 6.723% (2246/33408)
Loss: 4.624 | Acc: 6.778% (2351/34688)
Loss: 4.621 | Acc: 6.834% (2458/35968)
Loss: 4.621 | Acc: 6.841% (2548/37248)
Loss: 4.619 | Acc: 6.860% (2643/38528)
Loss: 4.616 | Acc: 6.908% (2750/39808)
Loss: 4.615 | Acc: 6.902% (2836/41088)
Loss: 4.613 | Acc: 6.942% (2941/42368)
Loss: 4.610 | Acc: 6.979% (3046/43648)
Loss: 4.607 | Acc: 7.002% (3146/44928)
Loss: 4.607 | Acc: 6.984% (3227/46208)
